  pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   mavar,__deg |   __mag,_comp |   ____P,deg/s |   ____Q,deg/s |   ____R,deg/s | 
     -3.63219 |      -0.82053 |     166.54787 |     166.12318 |      -0.42469 |     166.30173 |       0.01985 |      -0.12075 |      -0.00654 | 
     -3.72897 |      -0.79988 |     166.54311 |     166.11839 |      -0.42471 |     166.28870 |       0.02095 |      -0.07745 |      -0.00578 | 
     -3.78374 |      -0.77867 |     166.53851 |     166.11378 |      -0.42473 |     166.27527 |       0.02114 |      -0.03706 |      -0.00494 | 
     -3.79956 |      -0.75739 |     166.53418 |     166.10942 |      -0.42476 |     166.26155 |       0.02057 |       0.00137 |      -0.00403 | 
     -3.78138 |      -0.73719 |     166.53040 |     166.10562 |      -0.42478 |     166.24849 |       0.01920 |       0.01987 |      -0.00303 | 
     -3.72137 |      -0.71867 |     166.52733 |     166.10252 |      -0.42480 |     166.23737 |       0.01717 |       0.08714 |      -0.00137 | 
     -3.61194 |      -0.70258 |     166.52554 |     166.10072 |      -0.42482 |     166.23094 |       0.01451 |       0.12440 |       0.00047 | 
     -3.47643 |      -0.68992 |     166.52490 |     166.10005 |      -0.42485 |     166.22835 |       0.01085 |       0.14249 |       0.00132 | 
     -3.33098 |      -0.68088 |     166.52432 |     166.09946 |      -0.42487 |     166.22693 |       0.00709 |       0.14290 |       0.00083 | 
     -3.18194 |      -0.67495 |     166.52290 |     166.09801 |      -0.42489 |     166.22208 |       0.00493 |       0.14925 |       0.00007 | 
     -3.04290 |      -0.67060 |     166.52141 |     166.09650 |      -0.42491 |     166.21547 |       0.00358 |       0.12597 |       0.00048 | 
     -2.92647 |      -0.66786 |     166.52098 |     166.09604 |      -0.42494 |     166.20821 |       0.00174 |       0.10543 |       0.00144 | 
     -2.82550 |      -0.66718 |     166.52153 |     166.09657 |      -0.42496 |     166.20198 |      -0.00031 |       0.09258 |       0.00188 | 
     -2.73446 |      -0.66840 |     166.52235 |     166.09737 |      -0.42498 |     166.19792 |      -0.00191 |       0.08524 |       0.00177 | 
     -2.64908 |      -0.67079 |     166.52304 |     166.09804 |      -0.42500 |     166.19560 |      -0.00270 |       0.08076 |       0.00175 | 
     -2.56676 |      -0.67377 |     166.52391 |     166.09888 |      -0.42503 |     166.19507 |      -0.00311 |       0.07858 |       0.00195 | 
     -2.48738 |      -0.67710 |     166.52498 |     166.09993 |      -0.42505 |     166.19565 |      -0.00347 |       0.07668 |       0.00209 | 
     -2.41024 |      -0.68076 |     166.52612 |     166.10106 |      -0.42507 |     166.19724 |      -0.00379 |       0.07454 |       0.00206 | 
     -2.33569 |      -0.68469 |     166.52722 |     166.10213 |      -0.42509 |     166.19945 |      -0.00398 |       0.07119 |       0.00194 | 
     -2.26499 |      -0.68876 |     166.52827 |     166.10316 |      -0.42512 |     166.20226 |      -0.00405 |       0.06622 |       0.00186 | 
     -2.20010 |      -0.69283 |     166.52931 |     166.10417 |      -0.42514 |     166.20496 |      -0.00406 |       0.05969 |       0.00187 | 
     -2.14222 |      -0.69696 |     166.53043 |     166.10527 |      -0.42516 |     166.20781 |      -0.00416 |       0.05262 |       0.00182 | 
     -2.09219 |      -0.70117 |     166.53157 |     166.10638 |      -0.42518 |     166.21068 |      -0.00424 |       0.04444 |       0.00166 | 
     -2.05034 |      -0.70547 |     166.53261 |     166.10741 |      -0.42521 |     166.21365 |      -0.00424 |       0.03548 |       0.00153 | 
     -2.01789 |      -0.70968 |     166.53368 |     166.10844 |      -0.42523 |     166.21635 |      -0.00418 |       0.02623 |       0.00147 | 
     -1.99454 |      -0.71391 |     166.53479 |     166.10954 |      -0.42525 |     166.21921 |      -0.00422 |       0.01709 |       0.00135 | 
     -1.98080 |      -0.71806 |     166.53583 |     166.11055 |      -0.42527 |     166.22185 |      -0.00414 |       0.00770 |       0.00116 | 
     -1.97582 |      -0.72216 |     166.53680 |     166.11151 |      -0.42530 |     166.22459 |      -0.00399 |      -0.00147 |       0.00099 | 
     -1.98724 |      -0.72611 |     166.53780 |     166.11247 |      -0.42532 |     166.22728 |      -0.00402 |      -0.02105 |       0.00077 | 
     -2.01387 |      -0.73015 |     166.53879 |     166.11345 |      -0.42534 |     166.22990 |      -0.00399 |      -0.03374 |       0.00052 | 
     -2.04870 |      -0.73401 |     166.53961 |     166.11424 |      -0.42536 |     166.23262 |      -0.00368 |      -0.03896 |       0.00027 | 
     -2.08687 |      -0.73739 |     166.54025 |     166.11487 |      -0.42539 |     166.23521 |      -0.00309 |      -0.04042 |       0.00008 | 
     -2.12505 |      -0.74010 |     166.54070 |     166.11528 |      -0.42541 |     166.23793 |      -0.00232 |      -0.03829 |      -0.00007 | 
     -2.15966 |      -0.74199 |     166.54099 |     166.11555 |      -0.42543 |     166.24098 |      -0.00153 |      -0.03418 |      -0.00026 | 
     -2.19091 |      -0.74310 |     166.54105 |     166.11559 |      -0.42545 |     166.24335 |      -0.00069 |      -0.02961 |      -0.00044 | 
     -2.21737 |      -0.74332 |     166.54089 |     166.11542 |      -0.42548 |     166.24524 |       0.00016 |      -0.02458 |      -0.00047 | 
     -2.23893 |      -0.74279 |     166.54063 |     166.11514 |      -0.42550 |     166.24713 |       0.00084 |      -0.02090 |      -0.00045 | 
     -2.25628 |      -0.74165 |     166.54037 |     166.11485 |      -0.42552 |     166.24774 |       0.00135 |      -0.01686 |      -0.00041 | 
     -2.26961 |      -0.74013 |     166.54010 |     166.11456 |      -0.42554 |     166.24796 |       0.00161 |      -0.01426 |      -0.00043 | 
     -2.27984 |      -0.73837 |     166.53975 |     166.11418 |      -0.42557 |     166.24799 |       0.00180 |      -0.01079 |      -0.00042 | 
     -2.28703 |      -0.73650 |     166.53944 |     166.11386 |      -0.42559 |     166.24799 |       0.00184 |      -0.00878 |      -0.00037 | 
     -2.29226 |      -0.73462 |     166.53912 |     166.11351 |      -0.42561 |     166.24799 |       0.00181 |      -0.00714 |      -0.00029 | 
     -2.29564 |      -0.73284 |     166.53893 |     166.11330 |      -0.42563 |     166.24754 |       0.00166 |      -0.00415 |      -0.00021 | 
     -2.29795 |      -0.73123 |     166.53873 |     166.11307 |      -0.42566 |     166.24689 |       0.00151 |      -0.00388 |      -0.00011 | 
     -2.29931 |      -0.72986 |     166.53865 |     166.11298 |      -0.42568 |     166.24615 |       0.00123 |      -0.00375 |      -0.00007 | 
     -2.29995 |      -0.72873 |     166.53854 |     166.11284 |      -0.42570 |     166.24571 |       0.00104 |      -0.00314 |      -0.00001 | 
     -2.30009 |      -0.72779 |     166.53851 |     166.11279 |      -0.42572 |     166.24547 |       0.00081 |      -0.00169 |       0.00005 | 
     -2.29966 |      -0.72708 |     166.53853 |     166.11278 |      -0.42574 |     166.24529 |       0.00060 |      -0.00109 |       0.00005 | 
     -2.29928 |      -0.72655 |     166.53854 |     166.11278 |      -0.42577 |     166.24516 |       0.00045 |      -0.00093 |       0.00006 | 
     -2.29883 |      -0.72617 |     166.53857 |     166.11278 |      -0.42579 |     166.24513 |       0.00032 |      -0.00066 |       0.00009 | 
     -2.29805 |      -0.72587 |     166.53864 |     166.11282 |      -0.42581 |     166.24513 |       0.00024 |      -0.00036 |       0.00012 | 
     -2.29688 |      -0.72567 |     166.53870 |     166.11287 |      -0.42583 |     166.24513 |       0.00015 |      -0.00042 |       0.00011 | 
     -2.29585 |      -0.72552 |     166.53873 |     166.11287 |      -0.42586 |     166.24513 |       0.00014 |      -0.00124 |       0.00010 | 
     -2.29446 |      -0.72539 |     166.53879 |     166.11292 |      -0.42588 |     166.24513 |       0.00008 |      -0.00161 |       0.00010 | 
     -2.29292 |      -0.72529 |     166.53885 |     166.11295 |      -0.42590 |     166.24513 |       0.00010 |      -0.00057 |       0.00010 | 
     -2.29109 |      -0.72517 |     166.53894 |     166.11302 |      -0.42592 |     166.24513 |       0.00008 |       0.00039 |       0.00012 | 
     -2.28923 |      -0.72507 |     166.53897 |     166.11302 |      -0.42595 |     166.24513 |       0.00011 |       0.00041 |       0.00014 | 
     -2.28722 |      -0.72498 |     166.53909 |     166.11313 |      -0.42597 |     166.24513 |       0.00006 |      -0.00031 |       0.00014 | 
     -2.28562 |      -0.72491 |     166.53915 |     166.11316 |      -0.42599 |     166.24513 |       0.00006 |       0.00016 |       0.00015 | 
     -2.28397 |      -0.72486 |     166.53923 |     166.11322 |      -0.42601 |     166.24525 |       0.00004 |       0.00041 |       0.00014 | 
     -2.28223 |      -0.72483 |     166.53932 |     166.11328 |      -0.42604 |     166.24547 |       0.00004 |       0.00139 |       0.00015 | 
     -2.28046 |      -0.72478 |     166.53943 |     166.11337 |      -0.42606 |     166.24565 |       0.00002 |       0.00117 |       0.00014 | 
     -2.27865 |      -0.72476 |     166.53949 |     166.11340 |      -0.42608 |     166.24588 |       0.00004 |      -0.00006 |       0.00014 | 
     -2.27652 |      -0.72471 |     166.53960 |     166.11349 |      -0.42610 |     166.24612 |       0.00004 |      -0.00062 |       0.00014 | 
